Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0x43d5854075f347a8838e6eeea3c0a929bc38ff1c9c4fef5589ad4d9179078354,Atomic Match_,2022-05-18 22:33,0x1776cfdcffc21cd51b35d1efaf5b3db4848da1d7,0x88bf26cc2c0b1081930b48afa175416cf113ab89,6.19E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0325,Transfer,None
0xeddb28f6d6d1108d11df991bccc13b585bd51d5f54fb16a468f83e18f9c64bbd,Atomic Match_,2022-05-18 22:32,0x2c5257c42e706cbdcfe19fb83be501c5308ae434,0x3322df5c98e7ed5321c2db0bd923a130b8f24e53,2.60E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.1,Transfer,None
0x6884e40c006d3bd279bd6f145b07241cf79afcb512e0694c3bdddd409174daae,Atomic Match_,2022-05-18 22:31,creativephoto.eth,celinepannetier.eth,5.10E+75,0x7f268357A8c2552623316e2562D90e642bB538E5,0.025,Transfer,None
0x1cdd8b0f6e9f1ee04528b861142c0146ea459f5441f16f8e036303d5df55dfc4,Claim Keys,2022-05-18 22:28,0x2809a8737477a534df65c4b4cae43d0365e52035,jcf26.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x832597200dfedf4d0a0b7776d9b540b26bb7c55791cd73480d53b0cc89ae66ee,Safe Transfer Fr...,2022-05-18 22:28,0x3da530dd926e11e204f22d3f68f0f1858851a902,michaelalallouz.eth,7.23E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x3773d09b564c9bd5d29d6825d66e90535acc6b5a07fd8814228e78508d243ce6,Claim Keys,2022-05-18 22:28,0x2809a8737477a534df65c4b4cae43d0365e52035,pordlussyy.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x82165e709f9f408638ba41548faf7be9933a622a093c01716e0b84894752f735,Safe Transfer Fr...,2022-05-18 22:28,*s-park.eth,brandonx.eth,8.23E+75,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xdf74c4113464b2f7ea39532aa9236f84d97ae89242790c1f88a9b7f57ca479a0,Atomic Match_,2022-05-18 22:27,0x6219bb596af5c036d5985e5cebc86d3029f4ee09,0xbc0d1b00c9c4644920060c678ffa9db0e979fa5a,8.51E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0,Transfer,None
0xb994835bf72ec33994c9c72c624514dc3e0b4f57cbecac9e40a0a07d1585b175,Atomic Match_,2022-05-18 22:26,0x34385f6243a1d6a3ea6c769187092e27339bec08,drnigga.eth,5.87E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.01,Transfer,None
0x49338ca92f687c738faa9f3708028b43f674896799fbb0ff39a34709f9effd44,Atomic Match_,2022-05-18 22:26,0x6219bb596af5c036d5985e5cebc86d3029f4ee09,0xbc0d1b00c9c4644920060c678ffa9db0e979fa5a,8.51E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0,Transfer,None
0x9487ae6e20789df93a3b95235a405a77c3f57f99c06ea3cf88686bfb7ddd0705,Atomic Match_,2022-05-18 22:26,0x1ce9d560616f2240ae4d398338df1b096e0caf9b,0xe76bcccbc63414267730eff4462abb5cf47ef6ce,1.05E+77,0x7f268357A8c2552623316e2562D90e642bB538E5,0.5,Transfer,None
0x7fa288cacf99e6aa0e912436b0c2ff6e5346fda6af93974443d3b34b0be72a03,Proxy Assert,2022-05-18 22:26,0xc056648214f386ce7b173394c32d2b96b0cfc4b4,0x42d55461ca2dd7a9efdc9e689a9c9948373f2c7a,1.56E+76,0xD75ED95C9f06afE60591f6A0d87361d980cfD104,0,Transfer,None
0x25148d2d9c9b55623c3daf9b812e4480e1c611f1bc56d209cdb59ee5bd7c6838,Safe Transfer Fr...,2022-05-18 22:25,0x63dfac166f0c097901e8a73c94f3eb85b892e596,darri.eth,8.21E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xfa69db63bf726f3e2eb7c08e91a96c33fa7c71d299233a049c8bc2e8ca2d598a,Safe Transfer Fr...,2022-05-18 22:25,0x1a7f3e0d71e0c2658a740b08e41c1b7e5e0005bb,0xb5a205385e9fb9f5ad262044932b1cc4d2cb9bbc,1.05E+77,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x536c36397aecebd1362e230b93f01d46329d2d53b6e801c961a792107e041485,Atomic Match_,2022-05-18 22:24,0x567a9e0e53ddffa7493fa6ad2f1821c725d91690,0x971eaf8a204fc83d62f0cd6f34485c419702242d,6.84E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.029,Transfer,None
0x2181ba55a30858a981210865dacd1cabc659133e927484d0c38ee3964e1c5d2e,Atomic Match_,2022-05-18 22:23,0xebafd172eb84d85136e212a98b57ad9120ee526e,chrisburth.eth,5.13E+75,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0xb796f33d0fd03f76928f388bb7a0713991442aca99d2902b8aeca3018318e66a,Claim Keys,2022-05-18 22:23,0x2809a8737477a534df65c4b4cae43d0365e52035,0x3e03384fff7aab0ab86a50fda38624b83e4be5e3,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x77c315586026f7d8aa7891eafae6196fb7891657fba4968f66f08907239c0cdf,Atomic Match_,2022-05-18 22:22,0x67247ab8c483ef403207bb52a69b184ad7c29df9,bendermind.eth,7.22E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.35,Transfer,None
0x9d1e1da51ce01fb91219bb7ede749ad94dd0e506be709ede34cd2be2a52edbd8,Atomic Match_,2022-05-18 22:21,0x23cb2dcc13de54d427bf5c2519c956e6a9047b45,0xd9cd6718dee3aff04797c6f271638bb3dfb031a7,9.85E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.05,Transfer,None
0x30edb49157ae629d21da4aee621d1ef1ff059ac1ff866f6809c328f8993e4bd2,Safe Transfer Fr...,2022-05-18 22:20,0xa0ee062d7a3ccd907e697a86097ab9b7028d874d,nficetea.eth,1.38E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x5466b6d14e961f48d5aedeafcaf4130c69fc579372066bdebc4418cca66eb8cc,Atomic Match_,2022-05-18 22:20,0xf13edf42fecf09e7e31b979f97ed65f0a08aa330,0xccf0a890da6d34fb7bf412b09505dd24a6ecf6a3,2.88E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.04,Transfer,None
0x0e259d1aa1601bdca5bc31d856a37d6ad981bbecb00d5805bac80b73ea3e7332,Safe Transfer Fr...,2022-05-18 22:18,0xd4c01f0c4cf80f3d9ac2d18158f43d3d238f336e,diamondcruiser.eth,7.73E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x7b2e4a6780ad9d55975cc8b2f658523e99f097639b5be7f4e6b3e7aaa51490be,Safe Transfer Fr...,2022-05-18 22:18,0x671e4d58f407be00fcc383732c020a7ac1afde73,0x6ad7cfa2d45a93e6a5d7789b44304b220b3923dc,4.83E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x5894df7af87591ceea87bc74cd8310edf564dba6b69c0d52c5d135e70b347223,Safe Transfer Fr...,2022-05-18 22:18,punk4722.eth,0x4686bac1d78c36701ff05dd459899f080e7db007,5.37E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x3e1c70a462c64219ce770c146be3b88ca7a1d8214670f13c0c920771ea84cac8,Safe Transfer Fr...,2022-05-18 22:18,punk4722.eth,0x4686bac1d78c36701ff05dd459899f080e7db007,5.37E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xfa3301f50884e24ace04696362e13e11656e99153ffbb56fb5a8f026857ab2ca,Safe Transfer Fr...,2022-05-18 22:18,0x1c5bf13f86f900920d490c3ed00d39f8dcade0fb,0x1cb2791362f8ad95d65ba5405f171a1d29bfc163,1.30E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xa031d8696a50d4270c109e244384587276fa311aafb1ce73679dd6c7f789ff34,Claim Keys,2022-05-18 22:18,0x2809a8737477a534df65c4b4cae43d0365e52035,uppityy.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0xd1a95d32ca28c16e770834d1f231cfd84bd21ecd092322b5ff3bb275fc89f8a4,Safe Transfer Fr...,2022-05-18 22:18,punk4722.eth,0x4686bac1d78c36701ff05dd459899f080e7db007,5.37E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xd5e2db72695cbb941dbbf7df8f319f517c20f9468bdf5ae437500eb8fd7f1501,Claim Keys,2022-05-18 22:18,0x2809a8737477a534df65c4b4cae43d0365e52035,0x401k.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x1a35067c4be2ef632cc93c5f863a377a96574bdd2ec74061d32ed7eb24f4ad61,Atomic Match_,2022-05-18 22:17,0x4686bac1d78c36701ff05dd459899f080e7db007,0x76b7d5921ff0b492b7f12c6d7daf3afc2d24a40f,5.37E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.08,Transfer,None
0xe3a6adbf8af233133b08c0951e1bd887534a1a2692ae8b00266bbebfcaf22c2d,Claim Keys,2022-05-18 22:17,0x2809a8737477a534df65c4b4cae43d0365e52035,thespy.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x4703af3d83af92a58a1b5add741cd19f0c8e108352bbbd09ab5e40141a9a741c,Safe Transfer Fr...,2022-05-18 22:17,0x0753c365552b30b7232e7892218e26b207f00751,0x617a5f1ac3c9e3fc8720a5573255005806eb3523,4.41E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x7e0cc545d8e7d6f99e77a9cf6a13eeb83bb146c74af7b044414f74578c77493b,Atomic Match_,2022-05-18 22:17,0x4686bac1d78c36701ff05dd459899f080e7db007,0x76b7d5921ff0b492b7f12c6d7daf3afc2d24a40f,5.37E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.08,Transfer,None
0xe7012013da5ac5f7501912068446eecc5c0c9457a553d3ebd56983724d15de81,Atomic Match_,2022-05-18 22:16,0x4686bac1d78c36701ff05dd459899f080e7db007,0x76b7d5921ff0b492b7f12c6d7daf3afc2d24a40f,5.37E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.08,Transfer,None
0x06a9c54ebc892038dee220275ac4890bca2b9dc46c2d67ee97c693d548f02da4,Atomic Match_,2022-05-18 22:16,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xe2e4f5a7b5b3bdb6d39f0d4358aa5afce502e0d480386cd50f73f03b0e049a16,Atomic Match_,2022-05-18 22:16,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x48c665929892a603086bbfcf0fa56d707b13fae29a8a39d434b0f3f6e9524bad,Atomic Match_,2022-05-18 22:16,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xd9e7d09255a2d54777319f9baab986e7eec37a040ec132fed7928106c83efc40,Atomic Match_,2022-05-18 22:15,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xcb13edf8727e5e15c69e931beab4b18fb061f9fa68e70d041edc838ac034c7b6,Atomic Match_,2022-05-18 22:15,0x7029c7db518117017ddf7d7c67547a3e16c03574,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xf1c3a4c5c23d27ca99529803f97e1ea2f7ec73a59e92ed4757481137a8220a46,Atomic Match_,2022-05-18 22:15,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xb535ae22bbc2f4079a2dc02581e5aed56daa7a81f5d60c01b224998347327570,Atomic Match_,2022-05-18 22:15,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x84b2136e429af7e721136ce6418cdf026ce01dab73cfb561d9d98496ac1302a7,Atomic Match_,2022-05-18 22:15,zorix.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x050baffc46b35962e18039bc5346b17d622b1c9bc615eb5d4aadad953b4e603b,Atomic Match_,2022-05-18 22:15,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x0daa4da31146d05b25b01ed80f1e30d6761cd38684e1cc186f68791c58454d84,Atomic Match_,2022-05-18 22:14,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xef6ca8dd7716cfa5dcaecfae89f3a620f5e16edf89fab8cc12e5477bc3313e6d,Atomic Match_,2022-05-18 22:14,0x7a4843ff6b688459a08db2a896e68d5de84957c8,0x2792fe7de4e04053350a971adbf32fcdeb72726e,1.79E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0x0829846d3f7ecc5a76a278bee74b32c90fb36836e5e30565c40dc713f60b6c25,Atomic Match_,2022-05-18 22:14,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xa1690e9b8168b475f7a64b226e8054982dfffd4c691a689679db3e1cb8e62e06,Atomic Match_,2022-05-18 22:14,0x7029c7db518117017ddf7d7c67547a3e16c03574,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xfbdfa075498f04e10ab3226f26fc45d7e06cf3e78b72c88db78f0f80f22de7af,Claim Keys,2022-05-18 22:14,0x2809a8737477a534df65c4b4cae43d0365e52035,lunu.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x1c631dad8a0975b6688739d4b9fa2ef8bdbc8bb2faab688f5f5dcfb7d3cb88f6,Atomic Match_,2022-05-18 22:13,0x964fcbe3896a42db2045479724d1994380feeb56,0x41887088c90dce3d4069073ddd57728cfc3432b6,2.96E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.3,Transfer,None
0xe02e7b2d19290ab28770c5f612f2c7cbbdd45c11fa2ece88aa455ed608a04a99,Safe Transfer Fr...,2022-05-18 22:13,ashh.eth,0x844751624c2238f2bd3f6e3d3b7d8f226b2416ec,5.98E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xe02e7b2d19290ab28770c5f612f2c7cbbdd45c11fa2ece88aa455ed608a04a99,Safe Transfer Fr...,2022-05-18 22:13,ashh.eth,0x844751624c2238f2bd3f6e3d3b7d8f226b2416ec,5.98E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x79653dd20d702ec011506d11bdbf82d68c368d6cf354265a673fcad1b8dfbc9e,Safe Transfer Fr...,2022-05-18 22:13,0xc429243ef36dc8a1d824d4da808d31fa1d71f0cb,0xbe0cd02ff57625164af33f4fcf48c6f43b6dbe96,5.48E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xa29c3f91428abbdc00e57db689b909e064ae2cd67139eb774ef0845c96b8ec9a,Atomic Match_,2022-05-18 22:13,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x7177fa911737a077464712dcf76f2b7bd195aded7a95e0d7a351eb3952c1a29b,Safe Transfer Fr...,2022-05-18 22:13,0x0c04207b7b18cf1122360ef45b8018c3c74d415c,worldphace.eth,2.13E+75,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x3e2de5715bc07e4a27112af61436e7dbb403627e40d36a1cad703915fcbc3168,Atomic Match_,2022-05-18 22:12,0xe993972d5291d170e4d5c484704aa24d91a59dd8,ozmanian.eth,9.54E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.005,Transfer,None
0x384900bf96d4cae8dd4a6e682e1a023022244875db6cacafd557e5f254b3086a,Atomic Match_,2022-05-18 22:12,thewiley.eth,0x98a34686b09cc5ff71dc66882fb87558b0af17d4,4.11E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.038,Transfer,None
0xa57baa0ea9ec131bacc04e91b30eb8d1b606088ec54d164c410f1e81f187a6dc,Atomic Match_,2022-05-18 22:12,0x4ab71b19615b08d86757f2673ce80e28265191f2,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xacf463267a3612a9ba7733569ea3f56bb3fe5d79f733ae32e8f57d054c18b053,Safe Transfer Fr...,2022-05-18 22:11,cryptokel.eth,sweetbread.eth,5.88E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x54648c5beba83a0c0392fad5782dd30683a436785a49afa1fd5676a9491101fd,Atomic Match_,2022-05-18 22:11,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x7ce6f62104939527186e56fdd80c134bbb406a6d556974091bb7b9a4a58fb0ed,Atomic Match_,2022-05-18 22:10,0x6eae875a8c108ac120e86b0e462c61d19c566340,0x92d0e30cc90af56747f80046233711db15d6b291,6.64E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.019,Transfer,None
0x616d90ee92017f2ac28f9273aa7d41a387bd7ad79e87d13c901c7c9d19b66a88,Claim Keys,2022-05-18 22:10,0x2809a8737477a534df65c4b4cae43d0365e52035,baycbape.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0x378826b965c515f56cb82d97cb4feea4c294779d4bc754c000949ca74d085efc,Safe Transfer Fr...,2022-05-18 22:10,0x77b2f9a5df2efc260b6f1b57c636f64c3b3e926f,0xdcd065e56c6330f8f2b792a112360b33fa87f2fc,9.99E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xf6ca84c706e2f50b591f090079d2e6cf8090481e8289662f03c17644f2006e3b,Safe Transfer Fr...,2022-05-18 22:09,0x446f3b037b700435c9b16af04768f64c7f264ca2,0x4f549319675e70f1da9381b0d52b519af04f464c,3.59E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x32657c2e7715ad6ae73b2c76d2445456e2c7a3115fc2235b20ead1067455dfc8,Atomic Match_,2022-05-18 22:09,0x8a1a6616253cb617d92f5e539b3570a9eb483127,0xa3e67afb5d2b547356129f8636e186fa6cf6b37a,3.01E+75,0x7f268357A8c2552623316e2562D90e642bB538E5,0.1,Transfer,None
0xdf88f5a912abcde74296a56d895f308dfccb6770c80843be5680ae0597f17d9f,Safe Transfer Fr...,2022-05-18 22:08,0x15204c95d47186037552f777cb79c51e3d2de5bf,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x0a078422a0890caf00febdbe3ac30dc5e97974a60e4782cc596ea55d310c8cab,Atomic Match_,2022-05-18 22:08,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xb2ef2c7971cdc97a6298c338c08ca71cc5a60581b4bab8f860cc0e0e8145117a,Atomic Match_,2022-05-18 22:07,machi47.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x5a98c72f919ecc9ee3dc7564d79cca6aff13cf582774cd377523625559889574,Safe Transfer Fr...,2022-05-18 22:07,0x593a107cfbd74b65ebfb1cf9dd2c1969b2f73f66,webbie.eth,4.62E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x9d795acf502c7ac43f352ba4d11933a1e97a3320740406011094cc9876cf43c4,Safe Transfer Fr...,2022-05-18 22:07,0x15204c95d47186037552f777cb79c51e3d2de5bf,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x0596a944bc1d9ed139c1740f50e95c47bd230e55554a03ded87c086da75b6729,Atomic Match_,2022-05-18 22:07,0x6eae875a8c108ac120e86b0e462c61d19c566340,0x8ee2d9e28467b59ab49df557dfff9d666fbb00a5,6.46E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.039,Transfer,None
0xe24df01fee3350d0ea81b1b141938b7ba84689007e0c5ddd4f524a8acbd82d2a,Safe Transfer Fr...,2022-05-18 22:07,0x91487fb255f50b96512015fe33ca315e8b21c13b,beebeesnft.eth,1.00E+77,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x76dddf52d7314ab80684220ef8ddb0cb41a280d917bc2d06f7fc3a46a303938d,Atomic Match_,2022-05-18 22:06,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xb2bb85df91d94eeb52a36976276b6de8c73ee8034848ad06cbcd52241e090abf,Safe Transfer Fr...,2022-05-18 22:06,0xd2aae2dfd075a37963ad0345ee40068bb74107d7,0x345c1722a11449bbd22919d11c51ddea6fcde448,2.37E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xae26d29c0011f8c4e7c4fc883eba7cf1601e1c440d0bb7e78753f80ded22c0d4,Safe Transfer Fr...,2022-05-18 22:06,0x15204c95d47186037552f777cb79c51e3d2de5bf,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x9e28370af567750dc318a9c363c9d49609020e0c9ed8c20e3cfe8b9d2042ec47,Atomic Match_,2022-05-18 22:06,0x8d90b8275f2840aa0ac3dbf24eac58342f619ea0,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x4328dcb5d82b26d15585b979455cae7200071ad36cd7249bfe5546df25b66fd5,Atomic Match_,2022-05-18 22:06,degencutie.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x2406c502d3ea46175b57cd88876cfec5ca2865647d365abe99a6bdf8e0c3a567,Atomic Match_,2022-05-18 22:06,circusofvalue.eth,0x6768d43c21e4e208d6e3ffbe4211f3942a457020,4.68E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0,Transfer,None
0xc90bb3abaa42a5f74d23c91fd5e46748204a2ca9172e68bc31402ae207eec816,Safe Transfer Fr...,2022-05-18 22:05,d00vy.eth,0x6c430ac4d12a16664b105b36d17156117ae40f6f,4.90E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x8a64277d502ff9bc0ef4b060245aa140f6f4aab91903a0566e1a237b9ae000b8,Safe Transfer Fr...,2022-05-18 22:05,0x15204c95d47186037552f777cb79c51e3d2de5bf,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x623ee6db0b5bc6060228d38916adc756a635c5a29dcf546eb125c1bdf7ac32ac,Safe Transfer Fr...,2022-05-18 22:05,0x15204c95d47186037552f777cb79c51e3d2de5bf,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x6239d6848401c8c8c8cda14934459d8072e33a816deb5e6e2ebaf7053ace479e,Atomic Match_,2022-05-18 22:05,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x908bd9a8d4aac06c65a97d5a172ea74c5434af204271acd26b214df8f5132ef2,Atomic Match_,2022-05-18 22:04,0xa65fe9a9befbc8bb1556fc0365bc320fed5cefb5,0x2792fe7de4e04053350a971adbf32fcdeb72726e,1.79E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0x850fc271b201726ea98f5a079692eb830f5049ccc4410b08c369032bb91b9496,Claim Keys,2022-05-18 22:04,0x2809a8737477a534df65c4b4cae43d0365e52035,ilosealotofmoney.eth,7.02E+76,0x2809a8737477A534DF65C4b4cAe43d0365E52035,0,Transfer,None
0xfe163dacb958367e2d35888debb0ce5532bbf622b90afb48c68a9892d8335a97,Atomic Match_,2022-05-18 22:03,*idle-soul.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0x4cdb1a452356e90d38e02914ef22ca56392edf97b793a6477277201fd95f16b0,Atomic Match_,2022-05-18 22:03,0x9886a4bdf311d55fffdfeb7e5678c4f5b54ce157,0xdcda251bdb2217932cb57caa5b7d505cd2767697,5.11E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.09,Transfer,None
0x2418cf0e14ff823f667cf2c3f5745f21251d33840b65a6aa54fcb2ea4ab26208,Safe Transfer Fr...,2022-05-18 22:03,0xf5395c50385e672a72eb61c4ffe190afb52bc4eb,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xc5f46d30ca2672fdde0bb48f1e03663bb17276734c9dbf73c9c6d4b077e3eabb,Safe Transfer Fr...,2022-05-18 22:03,0xcd6f7c88907276cddb1579e27b827111d980afc0,0x89f745aa8241984918830e408fc93acba2e7c29c,6.24E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0xfbba57d5afa97226734e960f06df5b186a00a8ac2eebeabcd2599bc02d4ac8cf,Safe Transfer Fr...,2022-05-18 22:03,0x671e4d58f407be00fcc383732c020a7ac1afde73,0x6ad7cfa2d45a93e6a5d7789b44304b220b3923dc,4.83E+76,0x495f947276749Ce646f68AC8c248420045cb7b5e,0,Transfer,Opensea
0x02ed1dd0414056360c5edca914257598cab1ba3983172a192cb904e9164fe682,Atomic Match_,2022-05-18 22:02,0xa7239b3403d7dcb25fc9786160656b7f7cbc73f4,0xbf4dea075acaae7b0f0d6f73f2b8fe39d1b9dbef,8.65E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.039,Transfer,None
0xdcc24534f30109f58eb3948c92713c976ebe04170916bd02713aa68aa3ff136c,Atomic Match_,2022-05-18 22:02,0x3e5b2cc68aafae6528ab35866d9abd77a630f594,0x71000c39a66ce8e85f154228c82a95d8d924cefd,5.11E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.05,Transfer,None
0x728cdfad25438f96bec27612a2bca89783828a78d9910a2191d0396428ec8c86,Atomic Match_,2022-05-18 22:02,r2m.eth,0xbluecow.eth,9.98E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0.013,Transfer,None
0xd0e63e55c51c8fd9365e7689af8b30503bef9c8b286ada280d2e3dad3d6a045e,Atomic Match_,2022-05-18 22:02,cooterdoodle.eth,0xbc6819c533db537ad8e169d8d67e3c8971c0417f,8.31E+76,0x7f268357A8c2552623316e2562D90e642bB538E5,0,Transfer,None
